"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
34.04,0.00198263117377284,0.00342240970947849
34.05,0.00198156814256334,0.00341847540016282
34.06,0.00198050817629014,0.00341455268886037
34.07,0.00197945127203247,0.00341064154192872
34.08,0.00197839742691719,0.00340674192593871
34.09,0.00197734663823079,0.00340285380779071
34.1,0.00197629890332285,0.00339897715462079
34.11,0.00197525421963884,0.00339511193382735
34.12,0.00197421258473429,0.00339125811308838
34.13,0.0019731739962684,0.00338741566035405
34.14,0.00197213845198085,0.00338358454382026
34.15,0.00197110594973082,0.00337976473196433
34.16,0.00197007648747194,0.00337595619352959
34.17,0.0019690500632622,0.00337215889752285
34.18,0.00196802667526996,0.00336837281322655
34.19,0.00196700632175695,0.00336459791017851
34.2,0.00196598900109035,0.00336083415818234
34.21,0.00196497471174439,0.00335708152731518
34.22,0.00196396345230887,0.00335333998792553
34.23,0.00196295522149104,0.00334960951064267
34.24,0.00196195001807664,0.00334589006633312
34.25,0.00196094784099432,0.0033421816261614
34.26,0.00195994868927052,0.00333848416155769
34.27,0.00195895256203438,0.00333479764420541
34.28,0.00195795945856081,0.00333112204609665
34.29,0.00195696937821921,0.00332745733947437
34.3,0.0019559823205122,0.00332380349686523
34.31,0.00195499828503787,0.00332016049106187
34.32,0.0019540172715441,0.00331652829515272
34.33,0.00195303927989432,0.00331290688250463
34.34,0.00195206431006323,0.00330929622674936
34.35,0.0019510923621775,0.00330569630182886
34.36,0.0019501234364695,0.00330210708194245
34.37,0.00194915753332958,0.00329852854161228
34.38,0.00194819465325524,0.00329496065561874
34.39,0.00194723479690584,0.00329140339905942
34.4,0.00194627796505442,0.00328785674730692
34.41,0.00194532415864157,0.00328432067605666
34.42,0.00194437337873554,0.00328079516128676
34.43,0.00194342562654592,0.0032772801792762
34.44,0.00194248090345683,0.00327377570663678
34.45,0.00194153921098172,0.00327028172026667
34.46,0.00194060055080836,0.00326679819739628
34.47,0.00193966492475561,0.00326332511554939
34.48,0.00193873233484188,0.00325986245260446
34.49,0.00193780278322786,0.00325641018675049
34.5,0.00193687627224237,0.00325296829649657
34.51,0.00193595280439984,0.00324953676070316
34.52,0.00193503238238002,0.00324611555856369
34.53,0.0019341150090616,0.00324270466962318
34.54,0.00193320068748548,0.00323930407376605
34.55,0.00193228942090473,0.00323591375124632
34.56,0.00193138121274972,0.00323253368266252
34.57,0.00193047606666086,0.0032291638489953
34.58,0.00192957398647331,0.00322580423158991
34.59,0.00192867497624549,0.00322245481217653
34.6,0.00192777904023278,0.00321911557286447
34.61,0.0019268861829147,0.00321578649615828
34.62,0.00192599640902513,0.0032124675649885
34.63,0.00192510972346893,0.0032091587626405
34.64,0.00192422613145316,0.00320586007287305
34.65,0.0019233456383938,0.00320257147984027
34.66,0.00192246824996234,0.00319929296813026
34.67,0.00192159397208724,0.00319602452278023
34.68,0.00192072281097311,0.00319276612928399
34.69,0.00191985477307655,0.00318951777358156
34.7,0.00191898986515238,0.00318627944209671
34.71,0.00191812809424319,0.00318305112174788
34.72,0.00191726946767778,0.00317983279992395
34.73,0.00191641399308717,0.0031766244645256
34.74,0.00191556167843498,0.00317342610398597
34.75,0.00191471253199282,0.00317023770725544
34.76,0.00191386656235315,0.00316705926381289
34.77,0.00191302377849123,0.00316389076373569
34.78,0.00191218418970684,0.00316073219764113
34.79,0.00191134780566338,0.00315758355673268
34.8,0.00191051463641656,0.00315444483283123
34.81,0.00190968469239072,0.00315131601835483
34.82,0.00190885798442464,0.00314819710637271
34.83,0.00190803452377142,0.00314508809060099
34.84,0.00190721432209828,0.00314198896542028
34.85,0.00190639739152998,0.00313889972591264
34.86,0.00190558374461247,0.00313582036783533
34.87,0.00190477339441331,0.00313275088772424
34.88,0.00190396635443113,0.00312969128281815
34.89,0.00190316263869195,0.00312664155114806
34.9,0.00190236226175611,0.00312360169155679
34.91,0.00190156523869867,0.00312057170368718
34.92,0.00190077158513458,0.00311755158801208
34.93,0.00189998131728719,0.00311454134591005
34.94,0.00189919445194753,0.00311154097963107
34.95,0.00189841100652632,0.00310855049235981
34.96,0.00189763099907825,0.00310556988825106
34.97,0.00189685444831056,0.00310259917242806
34.98,0.00189608137359687,0.00309963835103089
34.99,0.00189531179504365,0.00309668743127822
35,0.00189454573347791,0.00309374642146465
35.01,0.0018937832104714,0.00309081533099664
35.02,0.00189302424839521,0.00308789417046085
35.03,0.00189226887043237,0.00308498295164783
35.04,0.00189151710060986,0.00308208168758706
35.05,0.0018907689638451,0.00307919039261761
35.06,0.00189002448594044,0.00307630908238254
35.07,0.00188928369366148,0.00307343777394209
35.08,0.00188854661474069,0.00307057648575804
35.09,0.00188781327794219,0.00306772523780696
35.1,0.00188708371306567,0.00306488405157757
35.11,0.00188635795104442,0.00306205295019168
35.12,0.00188563602392611,0.00305923195840674
35.13,0.00188491796494206,0.00305642110268933
35.14,0.00188420380858589,0.00305362041132773
35.15,0.0018834935905967,0.00305082991442274
35.16,0.00188278734808234,0.00304804964404015
35.17,0.00188208511952448,0.00304527963422896
35.18,0.00188138694484374,0.00304251992110871
35.19,0.00188069286548154,0.00303977054298388
35.2,0.00188000292443158,0.00303703154039336
35.21,0.00187931716635004,0.0030343029562433
35.22,0.00187863563754975,0.00303158483583377
